Site Code,Building Code,Building Description,Building Name,Building Type,Street 1 Number,Street 1 Address,Street 2 Number,Street 2 Address,City,Sq Ft,Number of Buildings,Height,Stories
CRC,582,30-38 CUMMINGTON MALL,,Research,30-38,CUMMINGTON MALL,,,Boston,36466.44,1,40',B + 3
CRC,583,38 BUSWELL STREET,,Residential,38,BUSWELL STREET,,,Boston,9485.88,1,55',B+5
CRC,584,14 BUSWELL STREET,WARREN HALL,Residential,14,BUSWELL STREET,18-Oct,BUSWELL STREET,Boston,67049.22,1,68',6
CRC,586,40 BUSWELL STREET,,Residential,40,BUSWELL STREET,,,Boston,10572.33,1,60',B+5
CRC,587,44 CUMMINGTON MALL,ENGINEERING RESEARCH BUILDING,Research,44,CUMMINGTON MALL,,,Boston,101335.67,1,"112'5""",B + 7 +P
CRC,589,31 BUSWELL STREET,COMMUNITY SERVICE HOUSE,Residential,31,BUSWELL STREET,,,Boston,5108.79,1,40',B+3
CRC,592,188 BAY STATE ROAD,,Residential,188,BAY STATE ROAD,,,Boston,4935.27,1,42',B+3
CRC,594,602 COMMONWEALTH AVENUE,MORSE AUDITORIUM,Academic,602,COMMONWEALTH AVENUE,,,Boston,20583.74,1,54'6,B+M+2
CRC,595,3-5 CUMMINGTON MALL,PHYSICS - BIOLOGY RESEARCH BUILDING,Research,5-Mar,CUMMINGTON MALL,616 - 620,COMMONWEALTH AVENUE,Boston,152457.33,1,90',B + 5 + P
CRC,596,640 COMMONWEALTH AVENUE,COLLEGE OF COMMUNICATION,Academic,640,COMMONWEALTH AVENUE,,,Boston,83974.02,1,47',B + 3
CRC,597,635 COMMONWEALTH AVENUE,COLLEGE OF HEALTH & REHABILITATION SCIENCES: SARGENT COLLEGE,Research,635,COMMONWEALTH AVENUE,,,Boston,100339.72,1,75',B+M+6
CRC,598,627-629 COMMONWEALTH AVENUE,,Residential,627-629,COMMONWEALTH AVENUE,,,Boston,15342.65,2,48',B+4
CRC,599,675 - 725 COMMONWEALTH AVENUE,COLLEGE OF ARTS AND SCIENCES (CAS),Academic,675 - 725,COMMONWEALTH AVENUE,,,Boston,333570.48,1,"63', 76',",SB+ B+6+P
CRC,600,33 HARRY AGGANIS WAY,STUDENT VILLAGE 2,Residential,33,HARRY AGGANIS WAY,,,Boston,400268.13,1,284',B + 26
CRC,601,113 BAY STATE ROAD,,Residential,113,BAY STATE ROAD,,,Boston,7790.96,1,40',B+4
CRC,603,2 SILBER WAY,SCHOOL OF EDUCATION,Academic,2,SILBER WAY,605,Commonwealth Avenue,Boston,87028.29,1,85',B + 8
CRC,604,88 BAY STATE ROAD,,Residential,88,BAY STATE ROAD,,,Boston,5866.09,1,45',B+4
CRC,605,111 CUMMINGTON MALL,,Research,111,CUMMINGTON MALL,,,Boston,92270.64,1,"28'9""",B + 2
CRC,607,700 COMMONWEALTH AVENUE,WARREN TOWERS,Residential,700,COMMONWEALTH AVENUE,,,Boston,638216.1,1,190',18 + P+PM
CRC,608,610 COMMONWEALTH AVENUE,KILACHAND CTR FOR INTEGRATED LIFE SCIENCES & ENGINEERING,Research,610,COMMONWEALTH AVENUE,,,Boston,161958.15,1,100',9 + PH
CRC,610,704 COMMONWEALTH AVENUE,,Academic,704,COMMONWEALTH AVENUE,,,Boston,28467.23,1,54',B + 5
CRC,611,735 COMMONWEALTH AVENUE,MARSH CHAPEL,Student Support,735,COMMONWEALTH AVENUE,,,Boston,18926.92,1,65',B + 2
CRC,612,718 COMMONWEALTH AVENUE,,Academic,718,COMMONWEALTH AVENUE,,,Boston,23480.21,1,58',B +5
CRC,613,143 BAY STATE ROAD,,Academic,143,BAY STATE ROAD,,,Boston,11107.12,1,63',B+5
CRC,614,745 - 755 COMMONWEALTH AVENUE,SCHOOL OF THEOLOGY,Academic,745 - 755,COMMONWEALTH AVENUE,,,Boston,116717.11,1,80',B + 6 + P
CRC,617,156 BAY STATE ROAD,,Academic,156,BAY STATE ROAD,,,Boston,5143.13,1,46',B + 4
CRC,618,722  COMMONWEALTH AVENUE,,Residential,722,COMMONWEALTH AVENUE,,,Boston,28633.11,1,51',B+5
CRC,619,771 COMMONWEALTH AVENUE,MUGAR MEMORIAL LIBRARY,Student Support,771,COMMONWEALTH AVENUE,,,Boston,240839.35,1,114',SB + B + 6+P
CRC,621,775 COMMONWEALTH AVENUE,GEORGE SHERMAN UNION,Student Support,775,COMMONWEALTH AVENUE,,,Boston,194567.2,1,60',B + 5
CRC,623,1 UNIVERSITY ROAD,BOSTON UNIVERSITY ACADEMY,Academic,1,UNIVERSITY ROAD,785,COMMONWEALTH AVENUE,Boston,55646.44,1,46,3
CRC,626,855 COMMONWEALTH AVENUE,COLLEGE OF FINE ARTS,Academic,855,COMMONWEALTH AVENUE,,,Boston,210372.93,1,"81'5""",B + 5
CRC,629,871 COMMONWEALTH AVENUE,COLLEGE OF GENERAL STUDIES,Academic,871,COMMONWEALTH AVENUE,,,Boston,102630.92,1,43',5
CRC,632,881 COMMONWEALTH AVENUE,,Administrative,881,COMMONWEALTH AVENUE,,,Boston,110205.34,1,95',SB+B+6+P
CRC,635,64-86 CUMMINGTON MALL,,Academic,64-86,CUMMINGTON MALL,,,Boston,48570.32,1,35',B + 2
CRC,636,96-100 CUMMINGTON MALL,,Academic,96-100,CUMMINGTON MALL,,,Boston,25963.3,1,35',B + 2
CRC,637,110-112 CUMMINGTON MALL,,Academic,110-112,CUMMINGTON MALL,,,Boston,48180.62,1,54',B + 4
CRC,643,24 CUMMINGTON MALL,LIFE SCIENCE AND ENGINEERING BUILDING,Research,24,CUMMINGTON MALL,,,Boston,191654.13,1,162',B+9+P+PM
CRC,646,949 COMMONWEALTH AVENUE,,Academic,949,COMMONWEALTH AVENUE,,,Boston,17810.75,1,28',B+G+1+M
CRC,647,590 COMMONWEALTH AVENUE,METCALF SCIENCE AND ENGINEERING CENTER,Research,590,COMMONWEALTH AVENUE,712,BEACON STREET,Boston,287433.03,1,60',B+5+P
CRC,649,677 BEACON STREET,,Research,677,BEACON STREET,,,Boston,26259.98,1,43',B + 3
CRC,650,48-52 CUMMINGTON MALL,,Research,48-52,CUMMINGTON MALL,,,Boston,17089.16,1,35',B + 2
CRC,652,580 COMMONWEALTH AVENUE,GRADUATE APARTMENTS,Residential,580,COMMONWEALTH AVENUE,,,Boston,124794.43,1,116',B+11
CRC,653,172 BAY STATE ROAD,,Residential,172,BAY STATE ROAD,,,Boston,4845.14,1,42',B+3
CRC,654,173 BAY STATE ROAD,,Residential,173,BAY STATE ROAD,,,Boston,6839.99,1,46',B+4
CRC,655,133 BAY STATE ROAD,,Residential,133,BAY STATE ROAD,,,Boston,7391.01,1,42',B+3
CRC,657,1019 COMMONWEALTH AVENUE,,Residential,1019,COMMONWEALTH AVENUE,,,Boston,66904.02,1,70',B+6+P
CRC,658,135 BAY STATE ROAD,,Residential,135,BAY STATE ROAD,,,Boston,10409.59,1,42',B + 5
CRC,660,204 BAY STATE ROAD,,Residential,204,BAY STATE ROAD,,,Boston,6811.66,1,48',B+4
CRC,662,58 BAY STATE ROAD,,Residential,58,BAY STATE ROAD,,,Boston,5418.47,1,48',B + 4
CRC,665,500-504 PARK DRIVE,,Residential,500-504,PARK DRIVE,,,Boston,15401.63,2,37',B + 3
CRC,666,515 PARK DRIVE,,Residential,515,PARK DRIVE,,,Boston,8799.25,1,43',B + 4
CRC,667,708 COMMONWEALTH AVENUE,,Residential,708,COMMONWEALTH AVENUE,,,Boston,5155.56,1,40',SB+B+3
CRC,668,509 PARK DRIVE,,Residential,509,PARK DRIVE,,,Boston,31409.96,1,56',B + 5
CRC,669,710 COMMONWEALTH AVENUE,,Commercial,710,COMMONWEALTH AVENUE,,,Boston,5582.66,1,40',B+3
CRC,670,11 BUSWELL STREET,,Residential,11,BUSWELL STREET,,,Boston,6736.21,1,44',B+4
CRC,676,514-522 PARK DRIVE,AUDUBON COURT,Residential,514-522,PARK DRIVE,,,Boston,37458.45,5,36',B + 3
CRC,678,2 RALEIGH STREET,RALEIGH HOUSE,Residential,2,RALEIGH STREET,,,Boston,11664.83,1,60',B+M+4
CRC,679,53 BAY STATE ROAD,,Academic,53,BAY STATE ROAD,,,Boston,16691.85,1,67',SB+B+G+5
CRC,680,139 BAY STATE ROAD,,Residential,139,BAY STATE ROAD,,,Boston,6847.1,1,41',B+4
CRC,682,67 BAY STATE ROAD,,Academic,67,BAY STATE ROAD,,,Boston,7180.68,1,45',B + 4
CRC,683,73 BAY STATE ROAD,,Residential,73,BAY STATE ROAD,,,Boston,10888.26,1,50',B + 4
CRC,690,30 HARRY AGGANIS WAY,NICKERSON STANDS,Athletic,30,HARRY AGGANIS WAY,,,Boston,20724.58,1,41',3
CRC,699,273 BABCOCK STREET,CLAFLIN HALL,Residential,273,BABCOCK STREET,,,Boston,134169.16,1,125',B+13+P+PM
CRC,700,41 BUSWELL STREET,,Residential,41,BUSWELL STREET,,,Boston,5393.92,1,34',B+3
CRC,701,154 BAY STATE ROAD,,Academic,154,BAY STATE ROAD,,,Boston,9383.28,1,46',B + 4
CRC,702,178 BAY STATE ROAD,,Residential,178,BAY STATE ROAD,,,Boston,5251.11,1,42',B+3
CRC,706,209 BAY STATE ROAD,,Residential,209,BAY STATE ROAD,,,Boston,6876.58,1,47',B+4
CRC,707,185 BAY STATE ROAD,,Academic,185,BAY STATE ROAD,,,Boston,7708.98,1,50',B + 4
